show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Get Out,Jordan Peele,"Daniel Kaluuya, Allison Williams",United States,"March 22, 2019",2017,R,104 min,"Horror Movies, Thrillers",A chilling story designed to unsettle and terrify.
s2,TV Show,Black Mirror,,Anthology series,United Kingdom,"February 23, 2020",2011,TV-MA,6 Seasons,"British TV Shows, TV Sci-Fi & Fantasy",An engaging story that captivated audiences worldwide.
s3,Movie,Finding Nemo,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",United States,"August 08, 2016",2003,G,100 min,Children & Family Movies,A heartwarming story for viewers of all ages.
s4,Movie,Knives Out,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",United States,"September 29, 2019",2019,PG-13,130 min,"Comedies, Thrillers",A lighthearted tale full of humor and unexpected laughs.
s5,Movie,Pulp Fiction,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman",United States,"July 25, 2016",1994,R,154 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s6,Movie,Se7en,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",United States,"October 07, 2017",1995,R,127 min,"Thrillers, Crime Movies",A suspenseful ride that keeps viewers on the edge of their seats.
s7,Movie,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron",United States,"April 18, 2021",2015,R,120 min,"Action & Adventure, Sci-Fi & Fantasy",A high-stakes adventure packed with action and spectacle.
s8,TV Show,Death Note,,"Mamoru Miyano, Aya Hisakawa",Japan,"January 16, 2021",2006,TV-14,1 Seasons,"Anime Series, International TV Shows",An engaging story that captivated audiences worldwide.
s9,Movie,Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner",United Kingdom,"December 12, 2017",1996,R,93 min,"Dramas, Cult Movies",A gripping story exploring complex characters and difficult choices.
s10,TV Show,Lupin,,"Omar Sy, Ludivine Sagnier",France,"August 08, 2021",2021,TV-14,3 Seasons,"Crime TV Shows, International TV Shows",An engaging story that captivated audiences worldwide.
s11,Movie,Y Tu Mama Tambien,Alfonso Cuaron,"Maribel Verdu, Gael Garcia Bernal",Mexico,"July 18, 2021",2001,R,106 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s12,Movie,Lionheart,Genevieve Nnaji,"Genevieve Nnaji, Nkem Owoh",Nigeria,"March 28, 2020",2018,PG,95 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s13,Movie,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Ke Huy Quan",United States,"January 22, 2019",2022,R,139 min,"Sci-Fi & Fantasy, Comedies",A imaginative journey into speculative and fantastical worlds.
s14,Movie,Roma,Alfonso Cuaron,"Yalitza Aparicio, Marina de Tavira",Mexico,"March 26, 2019",2018,R,135 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s15,Movie,Inside Out,Pete Docter,"Amy Poehler, Phyllis Smith",United States,"July 20, 2016",2015,PG,95 min,Children & Family Movies,A heartwarming story for viewers of all ages.
s16,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",India,"September 18, 2020",2009,PG-13,170 min,"Comedies, Dramas, International Movies",A lighthearted tale full of humor and unexpected laughs.
s17,Movie,The Intouchables,"Olivier Nakache, Eric Toledano","Francois Cluzet, Omar Sy",France,"July 14, 2020",2011,R,112 min,"Comedies, Dramas, International Movies",A lighthearted tale full of humor and unexpected laughs.
s18,Movie,Goodfellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",United States,"January 08, 2016",1990,R,145 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s19,TV Show,Downton Abbey,,"Hugh Bonneville, Maggie Smith",United Kingdom,"July 12, 2015",2010,TV-14,6 Seasons,"British TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s20,TV Show,House of Cards,,"Kevin Spacey, Robin Wright",United States,"March 25, 2016",2013,TV-MA,6 Seasons,TV Dramas,A gripping story exploring complex characters and difficult choices.
s21,Movie,Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Kareena Kapoor Khan",India,"September 18, 2016",2015,PG-13,163 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s22,Movie,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh",India,"October 17, 2016",2001,PG,224 min,"Dramas, International Movies, Sports Movies",A gripping story exploring complex characters and difficult choices.
s23,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,"March 22, 2021",2019,R,209 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
